"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000573","GO:2000573","positive regulation of DNA biosynthetic process","10/473","66/18723",5.72339210917515e-06,0.0192490045960743,0.0179406171135871,"CCT6A/CCT5/TCP1/CCT7/SRC/RFC3/PDGFRB/RFC4/CHTF8/PTK2B",10
"GO:0016072","GO:0016072","rRNA metabolic process","19/473","236/18723",9.44504641613066e-06,0.0192490045960743,0.0179406171135871,"RPS7/RPL27/RPUSD2/METTL15/MRPL1/DDX27/EXOSC2/EXOSC9/MDN1/WDR46/RRP1/NAT10/EXOSC8/EBNA1BP2/PELO/MRTO4/SLFN14/EMG1/TBL3",19
"GO:0006402","GO:0006402","mRNA catabolic process","18/473","232/18723",2.65603595895946e-05,0.0358182881188042,0.0333836583391262,"CSDE1/TAF15/ROCK1/SAMD4B/MAPK14/EDC3/SMG1/EXOSC2/EXOSC9/METTL14/MAPKAPK2/EXOSC8/PATL1/PELO/MOV10/MRTO4/SLFN14/SMG8",18
"GO:1903313","GO:1903313","positive regulation of mRNA metabolic process","12/473","118/18723",4.44808490351173e-05,0.0358182881188042,0.0333836583391262,"RBMX/ROCK1/DAZAP1/SAMD4B/EXOSC2/EXOSC9/METTL14/CDC73/HSF1/EXOSC8/PATL1/MOV10",12
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","20/473","288/18723",4.73235056849799e-05,0.0358182881188042,0.0333836583391262,"RBMX/SF1/TAF15/ROCK1/DAZAP1/SAMD4B/MAPK14/CDK9/RBM15B/IWS1/EXOSC2/EXOSC9/METTL14/CDC73/MAPKAPK2/HSF1/EXOSC8/PATL1/RNF20/MOV10",20
"GO:0006364","GO:0006364","rRNA processing","17/473","225/18723",6.1661646974336e-05,0.0358182881188042,0.0333836583391262,"RPS7/RPL27/RPUSD2/METTL15/MRPL1/DDX27/EXOSC2/EXOSC9/MDN1/WDR46/RRP1/NAT10/EXOSC8/EBNA1BP2/MRTO4/EMG1/TBL3",17
"GO:1904851","GO:1904851","positive regulation of establishment of protein localization to telomere","4/473","10/18723",7.48388237625495e-05,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:2000278","GO:2000278","regulation of DNA biosynthetic process","11/473","106/18723",7.64080181873103e-05,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7/SRC/RFC3/PDGFRB/RFC4/CHTF8/NAT10/PTK2B",11
"GO:0070203","GO:0070203","regulation of establishment of protein localization to telomere","4/473","11/18723",0.000115258202357005,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:1904869","GO:1904869","regulation of protein localization to Cajal body","4/473","11/18723",0.000115258202357005,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:1904871","GO:1904871","positive regulation of protein localization to Cajal body","4/473","11/18723",0.000115258202357005,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","11/473","112/18723",0.000125968226156691,0.0358182881188042,0.0333836583391262,"CSDE1/SAMD4B/EDC3/SMG1/EXOSC2/EXOSC9/EXOSC8/PATL1/PELO/MRTO4/SMG8",11
"GO:0016075","GO:0016075","rRNA catabolic process","5/473","21/18723",0.000146663001038609,0.0358182881188042,0.0333836583391262,"EXOSC2/EXOSC9/EXOSC8/PELO/SLFN14",5
"GO:0014911","GO:0014911","positive regulation of smooth muscle cell migration","7/473","47/18723",0.000164782966780978,0.0358182881188042,0.0333836583391262,"SRC/IGFBP5/PDGFRB/DOCK4/NRP1/BCL2/MDK",7
"GO:0070202","GO:0070202","regulation of establishment of protein localization to chromosome","4/473","12/18723",0.000169441867656581,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:1903405","GO:1903405","protein localization to nuclear body","4/473","12/18723",0.000169441867656581,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:1904816","GO:1904816","positive regulation of protein localization to chromosome, telomeric region","4/473","12/18723",0.000169441867656581,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:1904867","GO:1904867","protein localization to Cajal body","4/473","12/18723",0.000169441867656581,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7",4
"GO:0031123","GO:0031123","RNA 3'-end processing","11/473","116/18723",0.000172409904407995,0.0358182881188042,0.0333836583391262,"CDK9/WDR33/EXOSC2/EXOSC9/RPRD2/CDC73/HSF1/EXOSC8/RNF20/SSU72/INTS7",11
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","12/473","136/18723",0.000175752149748794,0.0358182881188042,0.0333836583391262,"CCT6A/CCT5/TCP1/CCT7/SRC/RBM22/PARP9/MAPK14/FERMT1/POLR1A/DMAP1/OTUD7B",12
