"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","4/12","425/19550",9.4911330582886e-05,0.0034168079009839,0.0016984132841148,"TNC/VCAN/PTPRZ1/MATN2",4
"GO:0035580","GO:0035580","specific granule lumen","2/12","62/19550",0.00063989257079828,0.011518066274369,0.00572535458082671,"CHI3L1/PTX3",2
"GO:0043202","GO:0043202","lysosomal lumen","2/12","97/19550",0.0015568455480335,0.0160797445966755,0.00799285550127144,"NCAN/VCAN",2
"GO:0005796","GO:0005796","Golgi lumen","2/12","104/19550",0.0017866382885195,0.0160797445966755,0.00799285550127144,"NCAN/VCAN",2
"GO:0042581","GO:0042581","specific granule","2/12","160/19550",0.00416286784825591,0.0294137144070811,0.0146208521906544,"CHI3L1/PTX3",2
"GO:0005775","GO:0005775","vacuolar lumen","2/12","174/19550",0.00490228573451352,0.0294137144070811,0.0146208521906544,"NCAN/VCAN",2
"GO:0005614","GO:0005614","interstitial matrix","1/12","10/19550",0.00612258630743445,0.0314875867239486,0.0156517243949452,"TNC",1
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","2/12","313/19550",0.0151683064820376,0.0494372697338373,0.0245740814466443,"TNC/VCAN",2
"GO:0034774","GO:0034774","secretory granule lumen","2/12","322/19550",0.0160054593397076,0.0494372697338373,0.0245740814466443,"CHI3L1/PTX3",2
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","2/12","325/19550",0.016288908578796,0.0494372697338373,0.0245740814466443,"CHI3L1/PTX3",2
"GO:0034364","GO:0034364","high-density lipoprotein particle","1/12","27/19550",0.0164521755070239,0.0494372697338373,0.0245740814466443,"PLTP",1
"GO:0031983","GO:0031983","vesicle lumen","2/12","327/19550",0.0164790899112791,0.0494372697338373,0.0245740814466443,"CHI3L1/PTX3",2
