"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006414","BP","GO:0006414","translational elongation","5/98","55/18723",1.00223957566033e-05,0.0168877368498766,0.0158353852954332,"EIF5A/RPLP2/TSFM/ASCC3/SRP9",5
"GO:0043292","CC","GO:0043292","contractile fiber","7/99","239/19550",0.000214209289002078,0.0232307234633786,0.0193376205002359,"ACTG1/ACTA2/TPM4/TPM1/MYH6/MYL12B/GLRX3",7
"GO:1990204","CC","GO:1990204","oxidoreductase complex","5/99","112/19550",0.000262934790427971,0.0232307234633786,0.0193376205002359,"NDUFS3/CYB5B/DLAT/NDUFS4/NDUFV2",5
"GO:0001725","CC","GO:0001725","stress fiber","4/99","71/19550",0.000463507978909889,0.0232307234633786,0.0193376205002359,"TPM4/TPM1/MYH6/MYL12B",4
"GO:0097517","CC","GO:0097517","contractile actin filament bundle","4/99","71/19550",0.000463507978909889,0.0232307234633786,0.0193376205002359,"TPM4/TPM1/MYH6/MYL12B",4
"GO:0032432","CC","GO:0032432","actin filament bundle","4/99","80/19550",0.000728709222849835,0.0232307234633786,0.0193376205002359,"TPM4/TPM1/MYH6/MYL12B",4
"GO:0042641","CC","GO:0042641","actomyosin","4/99","81/19550",0.000763612289814745,0.0232307234633786,0.0193376205002359,"TPM4/TPM1/MYH6/MYL12B",4
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","5/99","147/19550",0.000910654513417643,0.0232307234633786,0.0193376205002359,"NDUFS3/NDUFS4/NDUFV2/COX7A2/TIMM10B",5
"GO:0005758","CC","GO:0005758","mitochondrial intermembrane space","4/99","86/19550",0.000956040091622444,0.0232307234633786,0.0193376205002359,"TIMM8A/TIMM10B/SUOX/REXO2",4
"GO:0005746","CC","GO:0005746","mitochondrial respirasome","4/99","89/19550",0.00108659959899168,0.0232307234633786,0.0193376205002359,"NDUFS3/NDUFS4/NDUFV2/COX7A2",4
"GO:0098803","CC","GO:0098803","respiratory chain complex","4/99","90/19550",0.00113276544032128,0.0232307234633786,0.0193376205002359,"NDUFS3/NDUFS4/NDUFV2/COX7A2",4
"GO:0030016","CC","GO:0030016","myofibril","6/99","231/19550",0.00114512496212056,0.0232307234633786,0.0193376205002359,"ACTG1/TPM4/TPM1/MYH6/MYL12B/GLRX3",6
"GO:0005925","CC","GO:0005925","focal adhesion","8/99","418/19550",0.00128355835759612,0.0232307234633786,0.0193376205002359,"ACTG1/TPM4/CFL1/RPLP2/ARPC2/RPL22/RPL37A/REXO2",8
"GO:0030055","CC","GO:0030055","cell-substrate junction","8/99","425/19550",0.00142585848745521,0.0232307234633786,0.0193376205002359,"ACTG1/TPM4/CFL1/RPLP2/ARPC2/RPL22/RPL37A/REXO2",8
"GO:0031970","CC","GO:0031970","organelle envelope lumen","4/99","96/19550",0.00143904491769603,0.0232307234633786,0.0193376205002359,"TIMM8A/TIMM10B/SUOX/REXO2",4
"GO:0070469","CC","GO:0070469","respirasome","4/99","100/19550",0.00167268856674893,0.0232307234633786,0.0193376205002359,"NDUFS3/NDUFS4/NDUFV2/COX7A2",4
"GO:0022626","CC","GO:0022626","cytosolic ribosome","4/99","102/19550",0.00179885806966849,0.0232307234633786,0.0193376205002359,"RPLP2/RPL22/RPS27L/RPL37A",4
"GO:0005747","CC","GO:0005747","mitochondrial respiratory chain complex I","3/99","48/19550",0.00184679391549872,0.0232307234633786,0.0193376205002359,"NDUFS3/NDUFS4/NDUFV2",3
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","3/99","48/19550",0.00184679391549872,0.0232307234633786,0.0193376205002359,"NDUFS3/NDUFS4/NDUFV2",3
