"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","BP","GO:0099003","vesicle-mediated transport in synapse","27/173","200/18723",7.48026973132604e-24,1.86483124401958e-20,1.43936137566989e-20,"STXBP1/DNM1/SNAP25/SYN1/STX1B/STX1A/PACSIN1/NAPB/VAMP2/SYN2/SYNJ1/DNM1L/SNCA/SNAP91/RAB3A/SH3GL2/PRRT2/AMPH/SYT1/PPP3R1/SLC17A7/HPCA/SYN3/PRKCG/SYP/DNAJC6/PPFIA3",27
"GO:0099504","BP","GO:0099504","synaptic vesicle cycle","25/173","181/18723",2.16132888618525e-22,2.69409645662991e-19,2.07942589681402e-19,"STXBP1/DNM1/SNAP25/SYN1/STX1B/STX1A/PACSIN1/NAPB/VAMP2/SYN2/SYNJ1/DNM1L/SNCA/SNAP91/RAB3A/SH3GL2/PRRT2/AMPH/SYT1/SLC17A7/SYN3/PRKCG/SYP/DNAJC6/PPFIA3",25
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission","31/173","439/18723",8.19286678740174e-19,5.45206536948537e-16,4.20815145372063e-16,"STXBP1/AKAP12/MAPT/MAP1A/DNM1/SNAP25/TNR/SYN1/YWHAH/STX1B/CAMK2B/STX1A/PPP3CA/VAMP2/DNM1L/SNCA/PRKAR2B/NCDN/RAB3A/PRRT2/SYT1/PRNP/PPP3R1/NRGN/SYN3/NPTN/PRKCG/SYP/SLC24A2/SYNGR1/PPFIA3",31
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","31/173","440/18723",8.74779842677156e-19,5.45206536948537e-16,4.20815145372063e-16,"STXBP1/AKAP12/MAPT/MAP1A/DNM1/SNAP25/TNR/SYN1/YWHAH/STX1B/CAMK2B/STX1A/PPP3CA/VAMP2/DNM1L/SNCA/PRKAR2B/NCDN/RAB3A/PRRT2/SYT1/PRNP/PPP3R1/NRGN/SYN3/NPTN/PRKCG/SYP/SLC24A2/SYNGR1/PPFIA3",31
"GO:0036465","BP","GO:0036465","synaptic vesicle recycling","16/173","75/18723",7.43847974447004e-18,3.70882600059276e-15,2.86264020481921e-15,"DNM1/STX1B/STX1A/PACSIN1/VAMP2/SYNJ1/DNM1L/SNCA/SNAP91/RAB3A/SH3GL2/AMPH/SYT1/SLC17A7/SYP/DNAJC6",16
"GO:0045055","BP","GO:0045055","regulated exocytosis","23/173","230/18723",1.85528540172687e-17,7.70871084417516e-15,5.94993283220478e-15,"STXBP1/SNAP25/CORO1A/SYN1/STX1B/STX1A/NAPB/VAMP2/SYN2/SYNJ1/DNM1L/SNCA/RAB3A/PRRT2/SYT1/PTGDS/DMTN/PRKCG/SYP/SYNGR3/SYNGR1/PPFIA3/VPS41",23
"GO:0006836","BP","GO:0006836","neurotransmitter transport","22/173","208/18723",2.9037570657121e-17,1.03415233783147e-14,7.9820570167244e-15,"STXBP1/SNAP25/SYN1/STX1B/STX1A/NAPB/VAMP2/SYN2/SYNJ1/DNM1L/SNCA/RAB3A/PRRT2/SYT1/SLC17A7/SYN3/PRKCG/SYP/SYNGR3/SLC6A17/PPFIA3/SV2B",22
"GO:0006887","BP","GO:0006887","exocytosis","26/173","352/18723",2.32334057427213e-16,7.24011006457553e-14,5.58824548653876e-14,"STXBP1/NSF/SNAP25/CORO1A/SYN1/STX1B/STX1A/NAPB/VAMP2/SYN2/VSNL1/SYNJ1/DNM1L/SNCA/RAB3A/PRRT2/SYT1/SCAMP1/PTGDS/DMTN/PRKCG/SYP/SYNGR3/SYNGR1/PPFIA3/VPS41",26
"GO:0048488","BP","GO:0048488","synaptic vesicle endocytosis","14/173","62/18723",3.84048108214803e-16,9.57431933779503e-14,7.38989412438589e-14,"DNM1/STX1A/PACSIN1/VAMP2/SYNJ1/DNM1L/SNCA/SNAP91/SH3GL2/AMPH/SYT1/SLC17A7/SYP/DNAJC6",14
"GO:0140238","BP","GO:0140238","presynaptic endocytosis","14/173","62/18723",3.84048108214803e-16,9.57431933779503e-14,7.38989412438589e-14,"DNM1/STX1A/PACSIN1/VAMP2/SYNJ1/DNM1L/SNCA/SNAP91/SH3GL2/AMPH/SYT1/SLC17A7/SYP/DNAJC6",14
