"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008021","GO:0008021","synaptic vesicle","28/177","206/19550",5.19121526822847e-25,1.749439545393e-22,1.00545643089899e-22,"ATP2B1/DNM1/SNAP25/SYN1/STX1B/STX1A/VAMP2/SYN2/ATP6V1B1/DNM1L/SNCA/BIN1/SNAP91/RAB3A/ATP6V1G2/SH3GL2/PRRT2/AMPH/SYT1/SLC17A7/SCAMP1/ATP6V0D1/SYN3/SYP/SYNGR3/SLC6A17/SYNGR1/SV2B",28
"GO:0070382","GO:0070382","exocytic vesicle","28/177","224/19550",5.56885850969636e-24,7.69480324570274e-22,4.42243884806904e-22,"ATP2B1/DNM1/SNAP25/SYN1/STX1B/STX1A/VAMP2/SYN2/ATP6V1B1/DNM1L/SNCA/BIN1/SNAP91/RAB3A/ATP6V1G2/SH3GL2/PRRT2/AMPH/SYT1/SLC17A7/SCAMP1/ATP6V0D1/SYN3/SYP/SYNGR3/SLC6A17/SYNGR1/SV2B",28
"GO:0030672","GO:0030672","synaptic vesicle membrane","22/177","109/19550",9.13329762101215e-24,7.69480324570274e-22,4.42243884806904e-22,"ATP2B1/SYN1/STX1A/VAMP2/SYN2/ATP6V1B1/DNM1L/SNCA/RAB3A/ATP6V1G2/SH3GL2/PRRT2/AMPH/SYT1/SLC17A7/SCAMP1/SYN3/SYP/SYNGR3/SLC6A17/SYNGR1/SV2B",22
"GO:0099501","GO:0099501","exocytic vesicle membrane","22/177","109/19550",9.13329762101215e-24,7.69480324570274e-22,4.42243884806904e-22,"ATP2B1/SYN1/STX1A/VAMP2/SYN2/ATP6V1B1/DNM1L/SNCA/RAB3A/ATP6V1G2/SH3GL2/PRRT2/AMPH/SYT1/SLC17A7/SCAMP1/SYN3/SYP/SYNGR3/SLC6A17/SYNGR1/SV2B",22
"GO:0030658","GO:0030658","transport vesicle membrane","26/177","212/19550",4.2153110811003e-22,2.8411196686616e-20,1.63287839773148e-20,"ATP2B1/SYN1/MAP6/STX1A/VAMP2/SYN2/ATP6V1B1/DNM1L/SNCA/RAB3A/ATP6V1G2/SH3GL2/PRRT2/AMPH/SYT1/CD59/SLC17A7/SCAMP1/NRGN/SYN3/SYP/SYNGR3/SLC6A17/TMEM30A/SYNGR1/SV2B",26
"GO:0030133","GO:0030133","transport vesicle","33/177","412/19550",6.19984604649004e-22,3.48224686277857e-20,2.00135381149854e-20,"ATP2B1/DNM1/SNAP25/ATP6V1A/SYN1/MAP6/STX1B/STX1A/VAMP2/SYN2/ATP6V1B1/DNM1L/SNCA/BIN1/SNAP91/RAB3A/ATP6V1G2/SH3GL2/PRRT2/AMPH/SYT1/CD59/SLC17A7/SCAMP1/NRGN/ATP6V0D1/SYN3/SYP/SYNGR3/SLC6A17/TMEM30A/SYNGR1/SV2B",33
"GO:0098978","GO:0098978","glutamatergic synapse","25/177","338/19550",5.81390114775248e-16,2.79897812398941e-14,1.6086583626864e-14,"STXBP1/YWHAZ/ATP2B1/DNM1/SNAP25/TNR/CORO1A/ATP2B2/SPTBN2/STX1A/PPP3CA/NAPB/SYN2/PRKAR2B/SH3GL2/PRRT2/SYT1/CAMKV/PPP3R1/HPCA/NRGN/SYN3/NPTN/SLC6A17/PPFIA3",25
"GO:0044304","GO:0044304","main axon","13/177","68/19550",3.58071306922477e-14,1.50837538041094e-12,8.66909479917577e-13,"TUBB4A/MAPT/MAP1A/DNM1/EPB41L3/MBP/NFASC/CNTNAP1/NRCAM/SIRT2/BIN1/MAG/CNTNAP2",13
"GO:0098563","GO:0098563","intrinsic component of synaptic vesicle membrane","11/177","47/19550",3.21640910523057e-13,1.20436652051411e-11,6.92186286973597e-12,"ATP2B1/SYN1/STX1A/VAMP2/RAB3A/ATP6V1G2/SYT1/SLC17A7/SYP/SLC6A17/SYNGR1",11
"GO:0033176","GO:0033176","proton-transporting V-type ATPase complex","9/177","26/19550",9.11826809427079e-13,3.07285634776926e-11,1.76606455720613e-11,"ATP6V1A/ATP6V1B2/ATP6V1B1/ATP6V0A1/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1/ATP6V1D",9
"GO:0016471","GO:0016471","vacuolar proton-transporting V-type ATPase complex","8/177","20/19550",4.42183694876684e-12,1.3546900470313e-10,7.78581816816363e-11,"ATP6V1A/ATP6V1B2/ATP6V1B1/ATP6V0A1/ATP6V1E1/ATP6V1G2/ATP6V1H/ATP6V0D1",8
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","12/177","78/19550",5.38643114048288e-12,1.51268941195227e-10,8.69388885832324e-11,"NEFL/AKAP12/INA/TNR/NEFH/SYN1/PPP3CA/SYN2/SH3GL2/PPP3R1/NPTN/SYP",12
"GO:0098984","GO:0098984","neuron to neuron synapse","21/177","361/19550",1.46900700130847e-11,3.80811814954581e-10,2.18864201004663e-10,"ATP1A3/ATP1A1/NSF/YWHAZ/NEFH/ATP2B2/SYN1/STX1A/SYN2/SH3GL2/PRRT2/SYT1/PRNP/BCAS1/NRGN/SYN3/DMTN/NPTN/PRKCG/DNAJC6/GNG3",21
"GO:0030285","GO:0030285","integral component of synaptic vesicle membrane","9/177","35/19550",1.92147940687419e-11,4.62527542940431e-10,2.65828729973573e-10,"ATP2B1/STX1A/VAMP2/ATP6V1G2/SYT1/SLC17A7/SYP/SLC6A17/SYNGR1",9
