"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0101002","GO:0101002","ficolin-1-rich granule","12/122","185/19550",1.89151953161306e-09,3.63171750069707e-07,3.18571710587463e-07,"SERPINB6/GAA/PGM1/CAPN1/PGM2/PSMA5/APEH/GNS/ARPC5/CTSZ/LAMP2/DERA",12
"GO:1905369","GO:1905369","endopeptidase complex","8/122","66/19550",7.74190531727316e-09,7.43222910458224e-07,6.51949921454582e-07,"HSPB1/PSME1/PSMA5/PSMD5/PSMB9/PSMB4/PSMA4/HTRA2",8
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","9/122","124/19550",8.27863795677315e-08,4.36713503860835e-06,3.83082020930557e-06,"PGM1/CAPN1/PGM2/PSMA5/APEH/GNS/ARPC5/CTSZ/DERA",9
"GO:0000502","GO:0000502","proteasome complex","7/122","60/19550",9.09819799710074e-08,4.36713503860835e-06,3.83082020930557e-06,"HSPB1/PSME1/PSMA5/PSMD5/PSMB9/PSMB4/PSMA4",7
"GO:1905368","GO:1905368","peptidase complex","8/122","99/19550",1.94438483148009e-07,7.46643775288356e-06,6.54950680077505e-06,"HSPB1/PSME1/PSMA5/PSMD5/PSMB9/PSMB4/PSMA4/HTRA2",8
"GO:0034774","GO:0034774","secretory granule lumen","11/122","322/19550",5.63866866439495e-06,0.000139203087774416,0.000122107971731944,"PRDX6/TMSB4X/PGM2/PSMA5/NAPRT/APRT/HEBP2/GNS/ARPC5/CTSZ/DERA",11
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","11/122","325/19550",6.15694127077223e-06,0.000139203087774416,0.000122107971731944,"PRDX6/TMSB4X/PGM2/PSMA5/NAPRT/APRT/HEBP2/GNS/ARPC5/CTSZ/DERA",11
"GO:0005839","GO:0005839","proteasome core complex","4/122","20/19550",6.47311137965915e-06,0.000139203087774416,0.000122107971731944,"PSMA5/PSMB9/PSMB4/PSMA4",4
"GO:0031983","GO:0031983","vesicle lumen","11/122","327/19550",6.52514473942576e-06,0.000139203087774416,0.000122107971731944,"PRDX6/TMSB4X/PGM2/PSMA5/NAPRT/APRT/HEBP2/GNS/ARPC5/CTSZ/DERA",11
"GO:0005766","GO:0005766","primary lysosome","7/122","155/19550",5.37345900848847e-05,0.000937912845117988,0.000822730565892972,"PRDX6/GAA/NAPRT/HEBP2/NCSTN/GNS/LAMP2",7
"GO:0042582","GO:0042582","azurophil granule","7/122","155/19550",5.37345900848847e-05,0.000937912845117988,0.000822730565892972,"PRDX6/GAA/NAPRT/HEBP2/NCSTN/GNS/LAMP2",7
"GO:0005775","GO:0005775","vacuolar lumen","7/122","174/19550",0.000111192624861874,0.00177908199778998,0.00156059824367542,"PRDX6/GAA/TPP1/NAPRT/HEBP2/GNS/LAMP2",7
"GO:0005759","GO:0005759","mitochondrial matrix","10/122","480/19550",0.000860615977002979,0.012710635968044,0.0111496806737228,"SOD1/GPX1/GSR/TST/ACSS1/ACOT2/HSD17B8/ETHE1/AK3/TRNT1",10
"GO:0019774","GO:0019774","proteasome core complex, beta-subunit complex","2/122","11/19550",0.00204756767619008,0.0280809281306068,0.0246323930970235,"PSMB9/PSMB4",2
"GO:0035578","GO:0035578","azurophil granule lumen","4/122","91/19550",0.00253955428719861,0.0325062948761422,0.0285142937510019,"PRDX6/NAPRT/HEBP2/GNS",4
"GO:0000932","GO:0000932","P-body","4/122","93/19550",0.00274797919444595,0.0329757503333514,0.0289260967836416,"PSMA4/CARHSP1/LSM1/LSM3",4
"GO:0043202","GO:0043202","lysosomal lumen","4/122","97/19550",0.00319943648434719,0.0361348120585095,0.031697203560096,"GAA/TPP1/GNS/LAMP2",4
"GO:0070820","GO:0070820","tertiary granule","5/122","164/19550",0.00368298800352205,0.0392852053709019,0.0344607064657034,"SERPINB6/GAA/PGM1/METTL7A/LAMP2",5
"GO:0005925","GO:0005925","focal adhesion","8/122","418/19550",0.00473160144319975,0.047814077741808,0.0419421734577263,"LAP3/HSPB1/CAPN1/NCSTN/ARPC5/ARPC5L/SH3KBP1/PTPN12",8
