,intercept,f,pval,qval,deltaBeta
cg20523169,0.253099866666667,240.24765498066,6.77977463310369e-42,1.3501108154002899e-36,-0.1596508110740149
cg05426006,0.355380333333333,209.910147321017,8.08514565729997e-38,8.05029900456313e-33,-0.15164966902317928
cg16908948,0.3363394,184.224800737378,3.42246776669858e-34,7.572704596038149e-30,-0.1684717949970686
cg00019678,0.3377026,182.196893628413,6.7300140214078e-34,1.34020158630829e-29,-0.17776146371007806
cg03435248,0.358125133333333,176.949904989217,3.91807289147335e-33,5.76601870484222e-29,-0.1508593534623151
cg26880445,0.273653733333333,169.390666085425,5.11352339369138e-32,4.24290359453578e-28,-0.15212244239551326
cg05532178,0.285580533333333,166.224906095135,1.51621770633926e-31,1.11828360665278e-27,-0.15066026864243826
cg14957660,0.3131078,164.964044193837,2.3419134880709702e-31,1.49118689309854e-27,-0.17103251441708978
cg16210719,0.3184466,162.310257730441,5.86781544407072e-31,2.92126269770492e-27,-0.17050741483151255
cg04854098,0.2600654,157.149672032682,3.54920849395342e-30,1.17989857349558e-26,-0.15152916953048895
cg21767191,0.337683066666667,155.574715890588,6.1697353719191e-30,1.7304631156358398e-26,-0.1885551714293937
cg13977827,0.2536678,155.531030537662,6.265243110851259e-30,1.7328444902567498e-26,-0.15043797009849158
cg26894841,0.340443,152.097302681738,2.10439987868868e-29,4.37524056321521e-26,-0.1516597308373095
cg03303633,0.415404733333333,150.977334757441,3.12991176297836e-29,5.6662217620207e-26,-0.16770197765298994
cg11639651,0.306027466666667,149.200742684479,5.88581021278995e-29,9.072221429618701e-26,-0.15069012500956613
cg02502704,0.409310533333333,148.992531220142,6.33890542052343e-29,9.48528048449776e-26,-0.18901909578530796
cg15621651,0.2907942,148.372812715888,7.90601235601319e-29,1.1326529151947101e-25,-0.17163263795820133
cg00084432,0.280458866666667,146.88896063983,1.3432889610566e-28,1.7147428713314502e-25,-0.16329643042866848
cg17436460,0.2501288,146.72818430269,1.42283436681442e-28,1.78201510427105e-25,-0.15222260356599426
cg24594293,0.231542666666667,143.588536652866,4.392275176004009e-28,4.38224107660214e-25,-0.1538437403801755
