,Monocytes,Bcells,CD4Tcells,NK,CD8Tcells,Neutrophils,MEP,Endothelial,Microglia,Neuron,Astrocytes,Oligodendrocytes,Fibroblast
cg22062539,0.9011,0.8875,0.1812,0.0615,0.1077,0.8872,0.7909,0.8365,0.8445081114768982,0.9250891804695129,0.8730100393295288,0.8830879330635071,0.817359983921051
cg26862316,0.9193,0.9285,0.9261,0.9214,0.9344,0.9121,0.8873,0.6134,0.9072455167770386,0.9158316850662231,0.9038617610931396,0.8538488149642944,0.10538999736309052
cg00277753,0.959,0.957,0.9405,0.9428,0.9464,0.9482,0.9795,0.6972,0.9615625739097595,0.7715631723403931,0.8992136120796204,0.9562762379646301,0.2176000028848648
cg03145924,0.0465,0.0968,0.3844,0.1994,0.523,0.0567,0.0372,0.0698,0.04082411527633667,0.09371070563793182,0.05494554713368416,0.05776027962565422,0.06519000232219696
cg01301117,0.9778,0.977,0.9724,0.9764,0.9732,0.97,0.9776,0.7105,0.9821449518203735,0.9132339358329773,0.96661776304245,0.9557461142539978,0.8621399998664856
cg00893471,0.0398,0.1139,0.0671,0.0466,0.0928,0.0309,0.0279,0.3641,0.044867850840091705,0.1556439995765686,0.063959039747715,0.044985827058553696,0.07726000249385834
cg13422921,0.1514,0.7379,0.7344,0.7412,0.7324,0.0284,0.7383,0.5558,0.5186790227890015,0.8863173127174377,0.7446364760398865,0.7274683713912964,0.8477799892425537
cg23514375,0.2054,0.8903,0.8473,0.6736,0.8435,0.5233,0.9008,0.812,0.665810763835907,0.9183212518692017,0.8757549524307251,0.8800328969955444,0.8894100189208984
cg01040749,0.8198,0.8867,0.895,0.8902,0.898,0.1528,0.905,0.8184,0.8628820180892944,0.8891446590423584,0.8460158705711365,0.8590461015701294,0.9618899822235107
cg00421363,0.0188,0.0319,0.0476,0.0253,0.0556,0.0222,0.022,0.0528,0.05465659871697426,0.5992426872253418,0.023159051313996315,0.03438694030046463,0.0257399994879961
cg11588848,0.019,0.0287,0.0119,0.0162,0.0246,0.0145,0.0111,0.5083,0.018719462677836418,0.03712080419063568,0.4448939561843872,0.026150554418563843,0.8830299973487854
cg17959327,0.0435,0.1136,0.0628,0.0523,0.0628,0.0502,0.0135,0.3343,0.036395180970430374,0.04525390639901161,0.03993111103773117,0.07576833665370941,0.034279998391866684
cg25229089,0.912,0.9217,0.9182,0.9027,0.9079,0.8986,0.8654,0.8825,0.8843094706535339,0.9015225172042847,0.8864008188247681,0.8949969410896301,0.2699800133705139
cg12077754,0.8771,0.9027,0.8912,0.8701,0.901,0.7917,0.1078,0.8492,0.8957432508468628,0.9296291470527649,0.8550184965133667,0.657447874546051,0.8909400105476379
cg12180703,0.0632,0.2709,0.0632,0.0647,0.0848,0.0291,0.0381,0.0372,0.04203250631690025,0.020804904401302338,0.014467775821685791,0.011366944760084152,0.04162000119686127
cg01953615,0.9534,0.9587,0.941,0.9416,0.9359,0.9503,0.9824,0.8782,0.9643703699111938,0.9569440484046936,0.48845553398132324,0.8482649326324463,0.9497100114822388
cg24807053,0.9064,0.9143,0.8968,0.8958,0.8988,0.8989,0.8906,0.7813,0.8538263440132141,0.8923159241676331,0.880183756351471,0.8472769260406494,0.010809999890625477
cg01176150,0.0833,0.0738,0.0792,0.0564,0.0742,0.062,0.0101,0.0284,0.01775660738348961,0.041541095823049545,0.028562381863594055,0.023160001263022423,0.011640000157058239
cg19071507,0.8745,0.872,0.8356,0.8585,0.865,0.859,0.3764,0.8517,0.8836404085159302,0.893735408782959,0.8487985134124756,0.8596100211143494,0.8654299974441528
cg21811911,0.9155,0.896,0.9056,0.9135,0.9018,0.9144,0.9262,0.935,0.9280548691749573,0.9150945544242859,0.4176020622253418,0.09867361187934875,0.9232900142669678
cg15229994,0.1007,0.0957,0.0416,0.0335,0.0406,0.1284,0.052,0.7183,0.866132915019989,0.8470417857170105,0.06818730384111404,0.4347224533557892,0.17861999571323395
cg26275360,0.8808,0.8475,0.8418,0.1283,0.7916,0.8818,0.889,0.767,0.862532913684845,0.8821277022361755,0.8556734919548035,0.8019741773605347,0.6380900144577026
cg07203767,0.8703,0.8427,0.1789,0.682,0.1771,0.8576,0.9011,0.8091,0.8626828193664551,0.8948265910148621,0.8529477119445801,0.8963655829429626,0.8402600288391113
