,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Name,Regulatory_Feature_Group,GeneSymbol,in_signature
cg18944752,RGS12;RGS12;RGS12,NM_198229;NM_198227;NM_002926,Body;Body;Body,nan,nan,True,nan,nan,RGS12,False
cg26831416,ACTN4,NM_004924,Body,chr19:39138062-39138570,S_Shelf,nan,nan,nan,ACTN4,False
cg06233202,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg12273284,CAMK1D;CAMK1D,NM_020397;NM_153498,Body;Body,nan,nan,nan,10:12490549-12491397,Promoter_Associated,CAMK1D,False
cg17262810,CCNY;CCNY,NM_145012;NM_181698,Body;5'UTR,nan,nan,True,nan,nan,CCNY,False
cg25874782,NSMAF;NSMAF,NM_003580;NM_001144772,Body;Body,nan,nan,True,nan,nan,NSMAF,False
cg01649611,THADA;THADA,NM_022065;NM_001083953,Body;Body,nan,nan,True,nan,nan,THADA,False
cg13359998,GALNT2,NM_004481,Body,nan,nan,nan,1:230241706-230241834,Promoter_Associated_Cell_type_specific,GALNT2,False
cg03683087,TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2,NM_001146284;NM_001146285;NM_030756;NM_001146274;NM_001146286;NM_001146283,Body;Body;Body;Body;Body;Body,nan,nan,True,nan,nan,TCF7L2,False
cg26579713,IGDCC4,NM_020962,Body,nan,nan,True,nan,nan,IGDCC4,False
cg27064337,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg24199006,ITPRIP,NM_033397,5'UTR,nan,nan,nan,10:106088608-106089725,Promoter_Associated,ITPRIP,False
cg17130457,nan,nan,nan,nan,nan,True,12:76414085-76415188,Unclassified_Cell_type_specific,nan,False
cg08913523,nan,nan,nan,nan,nan,True,8:126649730-126649836,Unclassified_Cell_type_specific,nan,False
cg00754989,nan,nan,nan,nan,nan,True,nan,nan,nan,False
cg20003368,nan,nan,nan,nan,nan,nan,6:44026152-44026536,Unclassified_Cell_type_specific,nan,False
