,Monocytes,Bcells,CD4Tcells,NK,CD8Tcells,Neutrophils,MEP,Endothelial,Astrocytes,Neuron,Oligodendrocytes,Microglia,Fibroblast,GBM
cg15006396,0.0251,0.0207,0.0214,0.0232,0.0183,0.0254,0.0149,0.0204,0.02690920978784561,0.7073947787284851,0.043896112591028214,0.022248392924666405,0.0,0.026810001581907272
cg13618969,0.8725,0.8756,0.8828,0.875,0.8946,0.1626,0.9102,0.8306,0.8590856194496155,0.9121622443199158,0.7468119859695435,0.895748496055603,0.8868200182914734,0.8761539459228516
cg00902815,0.8692,0.7396,0.3519,0.8327,0.5685,0.8718,0.8341,0.856,0.8599652051925659,0.8195312023162842,0.8762195110321045,0.865151047706604,0.9493299722671509,0.8331860303878784
cg21669966,0.9247,0.9231,0.917,0.9188,0.927,0.9124,0.9447,0.5392,0.8855236172676086,0.9267235398292542,0.9129513502120972,0.8946877717971802,0.838670015335083,0.9004690051078796
cg00372908,0.8874,0.8692,0.8598,0.859,0.8722,0.8833,0.9258,0.8578,0.08232872188091278,0.8945664167404175,0.8185808658599854,0.9105070233345032,0.6775100231170654,0.5617240071296692
cg23346146,0.9222,0.9246,0.9164,0.8928,0.9124,0.9062,0.9017,0.891,0.8907151222229004,0.9286959171295166,0.894302487373352,0.9015520215034485,0.9504200220108032,0.4503389894962311
cg11531557,0.9036,0.8868,0.5316,0.8484,0.1262,0.8938,0.9216,0.8093,0.8510515093803406,0.8274333477020264,0.8678020238876343,0.9000312089920044,0.8326900005340576,0.8518719673156738
cg23903129,0.1528,0.277,0.2462,0.4352,0.2827,0.1588,0.2179,0.0722,0.054106034338474274,0.24982310831546783,0.05475666746497154,0.09976641833782196,0.043069999665021896,0.11424900591373444
cg16365424,0.879,0.8794,0.7263,0.8427,0.807,0.7698,0.8981,0.8658,0.10306856781244278,0.8152863383293152,0.8596424460411072,0.8910350203514099,0.8651800155639648,0.8159379959106445
cg06693983,0.6944,0.7777,0.8528,0.7685,0.9256,0.6642,0.7522,0.1851,0.22696268558502197,0.6138426065444946,0.03555361181497574,0.43661656975746155,0.0,0.5326229929924011
cg26590411,0.0098,0.0114,0.018,0.0074,0.008,0.0082,0.0037,0.1111,0.04610365629196167,0.05531110242009163,0.01653999835252762,0.014358929358422756,0.0,0.07478399574756622
cg16385865,0.8586,0.8337,0.2648,0.5761,0.3253,0.8422,0.9079,0.8504,0.839130163192749,0.9157271385192871,0.8932942152023315,0.8582167029380798,0.9154800176620483,0.8422510027885437
cg09642825,0.4598,0.3097,0.1942,0.4086,0.182,0.4433,0.5505,0.1018,0.06557810306549072,0.05510318651795387,0.0837588831782341,0.29597967863082886,0.033319998532533646,0.06839200109243393
cg24122498,0.0668,0.2672,0.311,0.129,0.3756,0.06,0.0313,0.1212,0.06720983982086182,0.14782239496707916,0.06540390849113464,0.4564845860004425,0.052560001611709595,0.4276149868965149
cg26867575,0.05,0.0751,0.0717,0.0507,0.072,0.0582,0.0462,0.0972,0.06125127151608467,0.13440179824829102,0.05882861092686653,0.05281159654259682,0.6993499994277954,0.17858797311782837
cg18652900,0.0098,0.0174,0.2286,0.016,0.223,0.0092,0.008,0.044,0.013112698681652546,0.028991488739848137,0.016363613307476044,0.013686961494386196,0.009170000441372395,0.6069439649581909
cg21492378,0.1975,0.8984,0.9022,0.8954,0.9078,0.0832,0.8735,0.7832,0.8556452989578247,0.9317267537117004,0.871310293674469,0.7451395392417908,0.7999799847602844,0.8335450291633606
cg19323951,0.0222,0.0323,0.0825,0.3618,0.0874,0.0244,0.0072,0.034,0.058685868978500366,0.6368862390518188,0.04476333409547806,0.02275107242166996,0.013269999995827675,0.10170799493789673
cg08523694,0.9396,0.9423,0.9274,0.9338,0.9358,0.9265,0.9622,0.4356,0.9377954602241516,0.45361536741256714,0.9059286117553711,0.8156529664993286,0.9256799817085266,0.9167500734329224
cg24345747,0.5438,0.5076,0.6569,0.5368,0.1326,0.5194,0.5879,0.2886,0.2933642566204071,0.624596357345581,0.3674774765968323,0.5353484153747559,0.22999000549316406,0.27246397733688354
cg14206626,0.9532,0.9471,0.9336,0.9371,0.948,0.9294,0.9694,0.9038,0.9527288675308228,0.9628811478614807,0.9408309459686279,0.9396969079971313,0.9731000065803528,0.6365140080451965
cg05056497,0.7282,0.5957,0.2246,0.185,0.3757,0.4537,0.851,0.1235,0.04447253420948982,0.4772125482559204,0.2883495092391968,0.45659515261650085,0.04163999855518341,0.14218398928642273
cg17970299,0.8787,0.8891,0.8555,0.8256,0.867,0.8691,0.9332,0.2881,0.02033190429210663,0.04366130381822586,0.020709998905658722,0.5938088297843933,0.03994999825954437,0.036716993898153305
cg13545717,0.7084,0.795,0.9079,0.8483,0.9159,0.6736,0.3422,0.8954,0.9169290065765381,0.9444419145584106,0.9343313574790955,0.9342464804649353,0.925570011138916,0.9297000169754028
cg05848389,0.9516,0.9467,0.9468,0.9498,0.9485,0.9467,0.9656,0.9138,0.9454917907714844,0.42501506209373474,0.949941873550415,0.9587608575820923,0.9660300016403198,0.9321169853210449
cg13478974,0.8974,0.9046,0.8957,0.8975,0.9061,0.8865,0.9058,0.8231,0.8816989660263062,0.8008174896240234,0.897348940372467,0.9005794525146484,0.1700199991464615,0.8778250813484192
cg21648954,0.004,0.0049,0.0053,0.0046,0.0032,0.0057,0.0083,0.0081,0.01114110928028822,0.01582919992506504,0.007658333517611027,0.0062851798720657825,0.011540000326931477,0.18818199634552002
cg26970841,0.0181,0.0149,0.0167,0.0131,0.0149,0.0336,0.0157,0.0344,0.016694922000169754,0.05923157185316086,0.016559721902012825,0.010904104448854923,0.020910000428557396,0.589788019657135
cg06916725,0.7822,0.8898,0.8812,0.8842,0.8756,0.8972,0.9399,0.8591,0.6890367269515991,0.9008620977401733,0.8539488315582275,0.1010771244764328,0.8941699862480164,0.7412289977073669
cg20415947,0.9005,0.9116,0.9055,0.897,0.9058,0.9008,0.9153,0.6031,0.8066083192825317,0.9132586717605591,0.8440508246421814,0.8815301656723022,0.06413000077009201,0.8727380037307739
cg23217386,0.2547,0.0272,0.7127,0.6556,0.6965,0.8742,0.9275,0.7354,0.809292733669281,0.9028924703598022,0.8757205605506897,0.057200174778699875,0.7750399708747864,0.4673890173435211
cg06370771,0.0627,0.1236,0.0801,0.0701,0.0852,0.0693,0.0558,0.0925,0.34154316782951355,0.15581069886684418,0.15327304601669312,0.06347964704036713,0.12033999711275101,0.08615200221538544
cg01070161,0.8986,0.8732,0.8496,0.8696,0.8792,0.8912,0.933,0.3294,0.8408026695251465,0.9033584594726562,0.8937294483184814,0.8875947594642639,0.639240026473999,0.7755889892578125
cg00324097,0.3635,0.1178,0.0584,0.3845,0.0996,0.5712,0.603,0.1638,0.06166856735944748,0.1445625126361847,0.056851666420698166,0.6149033904075623,0.02996000088751316,0.14218799769878387
cg02888744,0.9077,0.9043,0.9082,0.9021,0.9055,0.9047,0.8022,0.856,0.6458910703659058,0.9103792309761047,0.2052580565214157,0.8256344199180603,0.945609986782074,0.8784449696540833
cg10229594,0.0287,0.1261,0.1596,0.1281,0.2318,0.0311,0.0364,0.1716,0.5658259987831116,0.18767908215522766,0.515399158000946,0.025015000253915787,0.03787999972701073,0.1157669872045517
cg09553402,0.0071,0.0044,0.009,0.0034,0.0034,0.0056,0.0105,0.0198,0.00908111035823822,0.14485611021518707,0.00720222108066082,0.00752625148743391,0.032349999994039536,0.018272999674081802
